prog,malloc,threads,time,cycles,galois,push,pop,emptypop,npush,npop,nemptypop,good,bad,empty,work_cyc,ngood,nbad,nempty,work_n,qpopfast,qpopfastcyc,qpoplocal,qpoplocalcyc,qpopremote,qpopremotecyc,qpopempty,qpopemptycyc
testrun3/sssp-obim_r4-2e24_d4,libc,176,0.970177114167,4.09802813024e+11,43584868301.0,57448092182.0,1.34842676136e+11,80032818429.0,22752465.0,22752468.0,137206.0,89733980866.0,317045263.0,3843331847.0,93894357976.0,67108861.0,206887.0,5923273.0,73239021.0,22005637.0,20817282938.0,206195.0,584191337.0,540636.0,1408353595.0,107846783.0,1.16860411627e+11
testrun3/sssp-obim_r4-2e24_d4,libc,176,0.99972569,4.22284131456e+11,43460147600.0,58392358475.0,1.45643260097e+11,79842123608.0,22872312.0,22872315.0,138256.0,90547872681.0,442041639.0,3956327356.0,94946241676.0,67108861.0,285223.0,6023515.0,73417599.0,22094794.0,21258659998.0,211981.0,597594383.0,565540.0,1469935576.0,115449484.0,1.23514543167e+11
testrun3/sssp-obim_r4-2e24_d4,libc,176,0.984281861667,4.15760658368e+11,44863795895.0,57229985744.0,1.35029439222e+11,84876230273.0,22793137.0,22793140.0,123792.0,89507098218.0,351694170.0,3902414846.0,93761207234.0,67108861.0,228910.0,5958587.0,73296358.0,22040393.0,20842172028.0,219704.0,614473972.0,533043.0,1342288878.0,113675283.0,1.20384631948e+11
testrun3/sssp-obim_r4-2e24_d4,libc,176,0.963164440417,4.06840659632e+11,44991163594.0,56639957482.0,1.34757541415e+11,77221397851.0,22766612.0,22766615.0,128223.0,89037512267.0,324663783.0,3868423240.0,93230599290.0,67108861.0,212855.0,5936014.0,73257730.0,22010999.0,20623845292.0,215070.0,599580099.0,540546.0,1362823502.0,108139604.0,1.14916341447e+11
testrun3/sssp-obim_r4-2e24_d4,libc,176,0.976535463333,4.12488579712e+11,43831890040.0,56443848802.0,1.34369062143e+11,84599432364.0,22683749.0,22683752.0,118344.0,89151115144.0,236195784.0,3857035435.0,93244346363.0,67108861.0,154591.0,5867759.0,73131211.0,21957784.0,20734079139.0,217987.0,611049597.0,507981.0,1311369162.0,112696951.0,1.19857852109e+11
testrun3/sssp-obim_r4-2e24_d4,libc,176,0.941280719583,3.97596975952e+11,45042005126.0,56863585902.0,1.21786285526e+11,80382104491.0,22666935.0,22666938.0,116045.0,89466461558.0,213926561.0,3842606788.0,93522994907.0,67108861.0,140125.0,5854603.0,73103589.0,21942081.0,20689796873.0,215579.0,602458760.0,509278.0,1328057870.0,101467266.0,1.08044960714e+11
testrun3/sssp-obim_r4-2e26_d4,libc,176,2.61990263333,1.10664687232e+12,1.74737606716e+11,2.25043816176e+11,2.53247962262e+11,69756938782.0,89851542.0,89851544.0,135589.0,3.68595657731e+11,52722784.0,15212167869.0,3.83860548384e+11,268435454.0,31797.0,22734811.0,291202062.0,88058942.0,83946308793.0,1219661.0,4126605326.0,572941.0,1726350502.0,87467533.0,94058655874.0
testrun3/sssp-obim_r4-2e26_d4,libc,176,2.607152585,1.1012612519e+12,1.70390907928e+11,2.24306963737e+11,2.58394098342e+11,65111864109.0,89861984.0,89861986.0,108592.0,3.67840056967e+11,61152417.0,15156208404.0,3.83057417788e+11,268435454.0,38104.0,22743625.0,291217183.0,88061457.0,83532588293.0,1220900.0,4123716950.0,579629.0,1692411553.0,88774968.0,95144542808.0
testrun3/sssp-obim_r4-2e26_d4,libc,176,2.64325247542,1.11650984562e+12,1.79202525104e+11,2.26449833483e+11,2.58661890529e+11,66182475188.0,89824423.0,89824425.0,167469.0,3.70679573486e+11,27477903.0,15306069923.0,3.86013121312e+11,268435454.0,17563.0,22711194.0,291164211.0,88063638.0,84699044555.0,1226798.0,4183945587.0,533989.0,1633579901.0,88045491.0,94752743694.0
testrun3/sssp-obim_r4-2e26_d4,libc,176,2.62059508208,1.10693936267e+12,1.66844471595e+11,2.2545108226e+11,2.57182572799e+11,72595257618.0,89856824.0,89856826.0,126736.0,3.69555551333e+11,55848383.0,15254578684.0,3.848659784e+11,268435454.0,34879.0,22739255.0,291209588.0,88062123.0,84168335065.0,1220426.0,4146963387.0,574277.0,1696895279.0,90290118.0,98105708609.0
testrun3/sssp-obim_r4-2e26_d4,libc,176,2.62874050833,1.11037999072e+12,1.78119412803e+11,2.25132055409e+11,2.55487400274e+11,67447116121.0,89830530.0,89830532.0,119736.0,3.68898633956e+11,32772539.0,15262599618.0,3.84194006113e+11,268435454.0,20883.0,22716468.0,291172805.0,88067681.0,84035171812.0,1220550.0,4143392021.0,542301.0,1647412932.0,87403790.0,94358325493.0
testrun3/sssp-obim_r4-2e26_d4,libc,176,2.64146867583,1.11575636867e+12,1.74130437705e+11,2.26814136135e+11,2.59225199594e+11,70370043888.0,89828467.0,89828469.0,148049.0,3.6997121705e+11,32054915.0,15213279385.0,3.8521655135e+11,268435454.0,20151.0,22714548.0,291170153.0,88062719.0,84223084264.0,1224941.0,4148911645.0,540809.0,1648301870.0,91516065.0,98461063983.0
testrun3/sssp-obim_r4-2e26_d4,libc,176,2.62062581333,1.10695234355e+12,1.77575023781e+11,2.240177481e+11,2.5449737753e+11,67582233584.0,89843108.0,89843110.0,112517.0,3.68046541739e+11,45611644.0,15187807174.0,3.83279960557e+11,268435454.0,28838.0,22727049.0,291191341.0,88080370.0,83703358602.0,1218607.0,4120208003.0,544133.0,1639176413.0,86881243.0,93673752338.0
testrun3/sssp-obim_r4-2e26_d4,libc,176,2.60452868083,1.10015291478e+12,1.68568864588e+11,2.25457809726e+11,2.54547021719e+11,66109510893.0,89858680.0,89858682.0,126816.0,3.7011997919e+11,59588391.0,15290140277.0,3.85469707858e+11,268435454.0,36281.0,22740752.0,291212487.0,88072941.0,84357287204.0,1224596.0,4178110544.0,561145.0,1679611077.0,84192005.0,91276670427.0
testrun3/sssp-obim_r4-2e26_d4,libc,176,2.62759881417,1.1098977391e+12,1.76849533219e+11,2.23955331855e+11,2.55434272859e+11,69821314533.0,89850183.0,89850185.0,118450.0,3.68501454109e+11,50907638.0,15284924891.0,3.83837286638e+11,268435454.0,32508.0,22733200.0,291201162.0,88063647.0,84018146479.0,1214613.0,4128304438.0,571925.0,1707986879.0,88389820.0,95941867627.0
testrun3/sssp-obim_r4-2e26_d4,libc,176,2.61898535917,1.10625941571e+12,1.68062356493e+11,2.23809036738e+11,2.66306833415e+11,65140680596.0,89884866.0,89884868.0,121935.0,3.67644871068e+11,79255598.0,15216381804.0,3.8294050847e+11,268435454.0,50311.0,22763465.0,291249230.0,88056024.0,83282380502.0,1221564.0,4112229600.0,607280.0,1736232634.0,94030256.0,1.01339423264e+11
testrun3/sssp-obim_rmat16p-2e24_d4,libc,176,2.39960468667,1.01359301965e+12,1.16113241948e+11,96616458133.0,2.17188606081e+11,776794074.0,79788243.0,79790953.0,61787.0,2.33028678423e+11,3.25426010741e+11,24443230248.0,5.82897919412e+11,268286623.0,390752592.0,48574938.0,707614153.0,78541504.0,73173778713.0,1117483.0,18128231534.0,131966.0,43600037064.0,472511.0,527296148.0
testrun3/sssp-obim_rmat16p-2e24_d4,libc,176,2.36330686,9.98260817664e+11,1.195850935e+11,96334989131.0,2.03663602548e+11,738497743.0,79352334.0,79355044.0,58348.0,2.32628151521e+11,3.20783953931e+11,24526529290.0,5.77938634742e+11,268286623.0,386816844.0,48604443.0,703707910.0,78112224.0,72782248662.0,1129606.0,15240951317.0,113214.0,33682763927.0,453612.0,496157374.0
testrun3/sssp-obim_rmat16p-2e24_d4,libc,176,2.41047551917,1.0181848593e+12,1.260355385e+11,95879278021.0,2.11622143249e+11,1424126125.0,79723153.0,79725865.0,115325.0,2.32561750778e+11,3.26148223756e+11,24513798867.0,5.83223773401e+11,268286623.0,392934309.0,48708743.0,709929675.0,78477344.0,72879356267.0,1129762.0,16719323540.0,118759.0,39920226205.0,865883.0,932749994.0
testrun3/sssp-obim_rmat16p-2e24_d4,libc,176,2.422333005,1.02319346131e+12,1.35634282912e+11,95794379825.0,2.08582033758e+11,781970473.0,79563887.0,79566599.0,59723.0,2.32535442783e+11,3.25366907146e+11,24498444415.0,5.82400794344e+11,268286623.0,390329467.0,48582228.0,707198318.0,78320546.0,72954767954.0,1133434.0,16421346841.0,112619.0,36909249623.0,479696.0,532634103.0
testrun3/sssp-obim_rmat16p-2e24_d4,libc,176,2.36385649875,9.98492985072e+11,1.16911265268e+11,95200188788.0,1.98768299796e+11,6869428071.0,79038645.0,79041352.0,500259.0,2.3379999462e+11,3.22712405615e+11,24231402914.0,5.80743803149e+11,268286623.0,385803049.0,48281222.0,702370894.0,77803481.0,72221762520.0,1136806.0,15136566942.0,101065.0,30022180080.0,4278657.0,4473305839.0
